Station_name,Station_id,Request Datetime,id,status,price,free
Ackerstraße Schnelllader,2jqwpp,2023-07-17 11:32:48.769557+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 11:32:49.294445+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 11:32:49.823973+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 11:32:49.823973+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 11:42:10.018022+02:00,DESWDE024501,3,,
Platanenstr. 11,5y35yn,2023-07-17 11:42:10.018022+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 11:42:10.018022+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 11:42:10.018022+02:00,DESWDE024602,3,,
Lindenstraße 71,z228j8,2023-07-17 11:42:10.709813+02:00,DESWDE037701,3,,
Lindenstraße 71,z228j8,2023-07-17 11:42:10.709813+02:00,DESWDE037702,3,,
Lindenstraße 71,z228j8,2023-07-17 11:42:10.709813+02:00,DESWDE037703,2,,
Lindenstraße 71,z228j8,2023-07-17 11:42:10.709813+02:00,DESWDE037704,2,,
Ackerstraße 131,zn686k,2023-07-17 11:42:11.395342+02:00,DESWDE000012101,3,,
Ackerstraße 131,zn686k,2023-07-17 11:42:11.395342+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 11:42:12.090133+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 11:42:12.090133+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 11:42:12.732466+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 11:42:13.455668+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 11:42:13.455668+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 11:52:11.569848+02:00,DESWDE024501,3,,
Platanenstr. 11,5y35yn,2023-07-17 11:52:11.569848+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 11:52:11.569848+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 11:52:11.569848+02:00,DESWDE024602,3,,
Lindenstraße 71,z228j8,2023-07-17 11:52:12.146269+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 11:52:12.146269+02:00,DESWDE037702,3,,
Lindenstraße 71,z228j8,2023-07-17 11:52:12.146269+02:00,DESWDE037703,2,,
Lindenstraße 71,z228j8,2023-07-17 11:52:12.146269+02:00,DESWDE037704,2,,
